latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km,NDVI,NDBI,NDWI
22.89433,72.50488,335.81,0.44,0.46,2026-04-08,846,N20,VIIRS,l,2,308.14,2.95,D,0,256,871663129,,,,works,,6141.7,0,0,0,6.142,0.20032051282051283,0.14314314314314314,-0.3574988672405981
22.89587,72.33046,339.64,0.43,0.46,2026-04-08,846,N20,VIIRS,n,2,303.6,3.08,D,0,242,871663114,,,industrial,,,3160.76,0,0,0,3.161,0.6404663407295976,-0.18436057561770297,-0.5815808556925308
22.97749,72.56292,310.99,0.41,0.45,2026-04-08,2115,N20,VIIRS,n,2,293.68,0.98,N,2,226,730859587,,,industrial,,,582.15,0,2,7,0.582,0.16027088036117382,0.1490066225165563,-0.31602048280907097
22.80832,72.51103,340.13,0.4,0.37,2026-04-09,828,N20,VIIRS,l,2,310.76,5.88,D,0,224,674885115,,,industrial,,,7655.08,0,0,0,7.655,0.15080857465212485,0.2353823088455772,-0.27340823970037453
22.98868,72.41434,337.69,0.4,0.37,2026-04-09,828,N20,VIIRS,l,2,310.07,4.41,D,0,416,1319844105,,,industrial,container_terminal,,5058.6,0,0,0,5.059,0.8027228358592345,-0.27345309381237526,-0.7255962626014261
22.98924,72.41818,337.68,0.4,0.37,2026-04-09,828,N20,VIIRS,n,2,306.25,4.41,D,0,416,1319844105,,,industrial,container_terminal,,5253.21,0,0,0,5.253,0.022199540699157947,-0.05310199789695058,-0.06330457863304578
23.04877,72.3171,342.02,0.39,0.37,2026-04-09,828,N20,VIIRS,n,2,312.62,5.38,D,0,208,663762913,,,industrial,,,2653.28,0,0,0,2.653,0.15578424414478353,0.10521978021978022,-0.31489705288655634
22.96495,72.54324,306.43,0.39,0.36,2026-04-09,2056,N20,VIIRS,n,2,293.66,0.59,N,0,82,326674328,,,industrial,,,1325.84,0,0,5,1.326,0.21567749160134378,0.0249685647566014,-0.2902305681007844
23.03078,72.3464,354.13,0.47,0.39,2026-04-10,809,N20,VIIRS,n,2,318.85,10.27,D,0,447,13207520,,,,,generator,2101.72,0,0,0,2.102,0.2817777777777778,0.12073170731707317,-0.40774487471526194
22.90541,72.431,308.55,0.48,0.4,2026-04-10,2037,N20,VIIRS,n,2,295.17,1.49,N,0,10,4398393389,esdee paints near,,,works,,605.36,0,5,9,0.605,0.024804469273743017,0.17621699299443147,-0.08032979976442874
