latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,index_right,osm_id,nearest_industry_name,nearest_industry_type,nearest_landuse,nearest_man_made,nearest_power,nearest_industry_distance_m,industries_within_500m,industries_within_1km,industries_within_2km,nearest_industry_distance_km
22.98144,72.56304,304.68,0.41,0.61,2026-04-07,2133,N20,VIIRS,n,2,291.02,0.88,N,2,226,730859587,,,industrial,,,683.64,0,3,9,0.684
22.85114,72.42912,339.79,0.43,0.46,2026-04-08,846,N20,VIIRS,n,2,307.57,3.41,D,0,244,871663117,,,industrial,,,2633.57,0,0,0,2.634
22.89433,72.50488,335.81,0.44,0.46,2026-04-08,846,N20,VIIRS,l,2,308.14,2.95,D,0,256,871663129,,,,works,,6141.7,0,0,0,6.142
22.89587,72.33046,339.64,0.43,0.46,2026-04-08,846,N20,VIIRS,n,2,303.6,3.08,D,0,242,871663114,,,industrial,,,3160.76,0,0,0,3.161
22.97749,72.56292,310.99,0.41,0.45,2026-04-08,2115,N20,VIIRS,n,2,293.68,0.98,N,2,226,730859587,,,industrial,,,582.15,0,2,7,0.582
22.80832,72.51103,340.13,0.4,0.37,2026-04-09,828,N20,VIIRS,l,2,310.76,5.88,D,0,224,674885115,,,industrial,,,7655.08,0,0,0,7.655
22.98868,72.41434,337.69,0.4,0.37,2026-04-09,828,N20,VIIRS,l,2,310.07,4.41,D,0,416,1319844105,,,industrial,container_terminal,,5058.6,0,0,0,5.059
22.98924,72.41818,337.68,0.4,0.37,2026-04-09,828,N20,VIIRS,n,2,306.25,4.41,D,0,416,1319844105,,,industrial,container_terminal,,5253.21,0,0,0,5.253
23.04877,72.3171,342.02,0.39,0.37,2026-04-09,828,N20,VIIRS,n,2,312.62,5.38,D,0,208,663762913,,,industrial,,,2653.28,0,0,0,2.653
22.96495,72.54324,306.43,0.39,0.36,2026-04-09,2056,N20,VIIRS,n,2,293.66,0.59,N,0,82,326674328,,,industrial,,,1325.84,0,0,5,1.326
23.03078,72.3464,354.13,0.47,0.39,2026-04-10,809,N20,VIIRS,n,2,318.85,10.27,D,0,447,13207520,,,,,generator,2101.72,0,0,0,2.102
22.90541,72.431,308.55,0.48,0.4,2026-04-10,2037,N20,VIIRS,n,2,295.17,1.49,N,0,10,4398393389,esdee paints near,,,works,,605.36,0,5,9,0.605
22.99735,72.49593,305.92,0.48,0.4,2026-04-10,2037,N20,VIIRS,n,2,293.34,1.27,N,0,24,6068260985,Rekson Rediator,,,works,,1111.95,0,0,2,1.112
23.18023,72.4329,342.72,0.57,0.52,2026-04-11,750,N20,VIIRS,n,2,311.81,5.7,D,0,448,13478804,,,,,generator,845.4,0,2,3,0.845
23.14765,72.59921,344.51,0.56,0.51,2026-04-13,853,N20,VIIRS,l,2,316.7,12.75,D,0,417,1328752901,,,industrial,,,2473.92,0,0,0,2.474
23.1508,72.59597,343.41,0.56,0.51,2026-04-13,853,N20,VIIRS,l,2,316.88,10.48,D,0,417,1328752901,,,industrial,,,2831.25,0,0,0,2.831
22.81889,72.38586,350.82,0.44,0.38,2026-04-14,834,N20,VIIRS,n,2,324.0,13.4,D,0,230,871656250,,,industrial,,,1179.34,0,0,3,1.179
22.81947,72.39011,347.22,0.44,0.38,2026-04-14,834,N20,VIIRS,l,2,320.52,17.01,D,0,230,871656250,,,industrial,,,1502.4,0,0,3,1.502
23.08708,72.40451,306.08,0.42,0.38,2026-04-14,2102,N20,VIIRS,n,2,295.79,0.58,N,0,433,1392931398,,,industrial,,,4265.5,0,0,0,4.266
23.14291,72.34533,345.71,0.46,0.47,2026-04-16,756,N20,VIIRS,n,2,313.7,6.1,D,0,430,1378877884,,,industrial,,,4566.1,0,0,0,4.566
